Food Eaten,Steps Taken,Elapsed Time (s),Comp Time (us),Nodes Explored
0,0,0,39930,29799
0,1,0,37248,29632
0,2,0,36228,29362
0,3,0,27299,29172
0,4,0,20379,28974
0,5,0,21696,28768
0,6,0,21052,28554
0,7,0,18553,28332
0,8,0,20258,28102
0,9,0,25751,27864
0,10,0,25642,27618
0,11,0,19793,27364
0,12,0,19191,27102
0,13,0,20696,26832
0,14,0,19870,26554
0,15,0,21281,26268
0,16,0,24695,25974
0,17,0,20277,25672
0,18,0,27069,25362
0,19,0,23152,25044
0,20,0,19270,24718
0,21,0,21692,24384
0,22,0,19669,24042
0,23,0,18549,23692
0,24,0,22563,23333
0,25,0,18433,22967
0,26,0,22091,22601
0,27,0,17554,22235
0,28,0,16017,21869
0,29,0,22206,21503
0,30,0,17392,21137
0,31,0,18429,20771
0,32,0,16751,20405
0,33,0,15506,20039
0,34,0,16259,19673
0,35,0,19431,19307
0,36,0,16915,18941
0,37,0,13356,18575
0,38,0,15051,18209
0,39,0,15140,17843
0,40,0,13493,17477
0,41,0,12687,17111
0,42,0,15161,16745
0,43,0,16129,16379
0,44,0,13205,16013
0,45,0,13229,15647
0,46,0,16846,15281
0,47,0,10096,14915
0,48,0,10774,14550
0,49,0,9341,14187
0,50,0,9300,13827
0,51,0,9317,13471
0,52,1,9287,13119
0,53,1,10948,12771
0,54,1,8743,12427
0,55,1,10589,12087
0,56,1,8996,11751
0,57,1,7878,11419
0,58,1,7316,11091
0,59,1,8924,10767
0,60,1,7432,10447
0,61,1,9736,10131
0,62,1,6857,9819
0,63,1,8040,9511
0,64,1,6251,9207
0,65,1,8723,8907
0,66,1,7188,8611
0,67,1,7231,8319
0,68,1,7344,8031
0,69,1,6647,7747
0,70,1,11403,7467
0,71,1,9295,7191
0,72,1,5400,6919
0,73,1,4548,6651
0,74,1,4828,6387
0,75,1,5246,6127
0,76,1,4277,5871
0,77,1,4076,5619
0,78,1,4357,5371
0,79,1,3988,5127
0,80,1,3282,4887
0,81,1,3176,4651
0,82,1,3256,4419
0,83,1,6032,4248
0,84,1,4679,4170
0,85,1,2721,4041
0,86,1,2602,3912
0,87,1,3600,3785
0,88,1,3663,3660
0,89,1,2469,3537
0,90,1,2613,3416
0,91,1,2363,3297
0,92,1,2322,3180
0,93,1,7693,3065
0,94,1,4205,2952
0,95,1,4817,2841
0,96,1,3452,2732
0,97,1,1899,2625
0,98,1,1830,2520
0,99,1,1857,2417
0,100,1,2607,2316
0,101,1,1648,2217
0,102,1,1512,2120
0,103,1,1537,2025
0,104,1,3974,1932
0,105,1,3449,1841
0,106,1,2176,1752
0,107,1,2367,1665
0,108,1,3289,1580
0,109,1,2478,1497
0,110,1,2048,1416
0,111,1,1557,1337
0,112,1,1932,1260
0,113,1,1502,1185
0,114,1,839,1112
0,115,1,799,1041
0,116,1,787,972
0,117,1,706,905
0,118,1,648,840
0,119,1,780,777
0,120,1,811,716
0,121,1,727,657
0,122,1,689,600
0,123,1,630,545
0,124,1,583,492
0,125,1,508,441
0,126,1,457,392
0,127,1,544,345
0,128,1,560,300
0,129,1,507,257
0,130,1,444,216
0,131,1,343,177
0,132,1,270,141
0,133,1,231,109
0,134,1,193,81
0,135,1,167,57
0,136,1,139,37
0,137,1,124,22
0,138,1,131,11
0,139,1,97,4
1,140,1,15419,17262
1,141,1,13340,17244
1,142,1,12874,17222
1,143,1,13892,17198
1,144,1,12239,17172
1,145,1,28229,17144
1,146,1,15206,17114
1,147,1,12605,17082
1,148,1,13928,17048
1,149,1,13642,17012
1,150,1,12825,16974
1,151,1,11883,16934
1,152,1,13240,16892
1,153,1,15891,16848
1,154,1,18704,16802
1,155,1,15815,16754
1,156,1,25664,16704
1,157,1,17235,16652
1,158,1,12362,16598
1,159,1,20020,16542
1,160,1,20758,16484
1,161,1,17206,16424
1,162,1,13291,16362
1,163,1,11503,16298
1,164,1,11697,16232
1,165,1,11150,16164
1,166,1,10748,16094
1,167,1,17499,16022
1,168,1,13756,15948
1,169,1,12310,15872
1,170,1,13423,15794
1,171,1,12532,15714
1,172,1,11023,15632
1,173,1,13465,15548
1,174,1,12887,15462
1,175,1,10577,15374
1,176,1,11346,15284
1,177,1,11488,15192
1,178,1,11076,15098
1,179,1,11399,15002
1,180,1,11730,14953
1,181,1,15302,14885
1,182,1,10426,14815
1,183,1,10988,14743
1,184,1,11019,14669
1,185,1,10353,14593
1,186,1,10959,14515
1,187,1,12966,14435
1,188,1,9717,14353
1,189,2,10968,14269
1,190,2,10128,14183
1,191,2,10282,14095
1,192,2,11540,14005
1,193,2,13609,13913
1,194,2,9526,13818
1,195,2,12154,13717
1,196,2,14017,13610
1,197,2,13615,13497
1,198,2,13275,13378
1,199,2,12632,13253
1,200,2,15984,13122
1,201,2,12867,12985
1,202,2,8815,12842
1,203,2,9209,12693
1,204,2,11954,12538
1,205,2,16368,12377
1,206,2,8067,12210
1,207,2,12960,12037
1,208,2,8535,11858
1,209,2,10182,11673
1,210,2,9496,11482
1,211,2,7403,11285
1,212,2,11308,11082
1,213,2,16077,10873
1,214,2,14318,10658
1,215,2,12521,10437
1,216,2,12089,10210
1,217,2,11301,9977
1,218,2,10930,9736
1,219,2,11146,9495
1,220,2,10463,9256
1,221,2,10150,9019
1,222,2,11377,8784
1,223,2,12823,8551
1,224,2,5268,8320
1,225,2,5812,8091
1,226,2,7676,7864
1,227,2,5070,7639
1,228,2,5062,7416
1,229,2,5886,7195
1,230,2,4825,6976
1,231,2,4578,6759
1,232,2,4606,6544
1,233,2,4420,6331
1,234,2,4445,6120
1,235,2,5233,5911
1,236,2,3891,5704
1,237,2,4174,5499
1,238,2,3563,5296
1,239,2,4071,5095
1,240,2,3874,4896
1,241,2,2998,4700
1,242,2,2957,4508
1,243,2,5790,4320
1,244,2,2701,4136
1,245,2,2705,3956
1,246,2,2659,3780
1,247,2,2589,3608
1,248,2,2392,3440
1,249,2,2614,3276
1,250,2,3079,3116
1,251,2,2125,2960
1,252,2,1883,2808
1,253,2,1938,2660
1,254,2,1792,2516
1,255,2,1669,2376
1,256,2,1592,2240
1,257,2,4654,2108
1,258,2,2953,1980
1,259,2,4120,1856
1,260,2,3037,1736
1,261,2,1867,1620
1,262,2,1029,1508
1,263,2,1026,1400
1,264,2,1013,1296
1,265,2,1608,1196
1,266,2,1893,1100
1,267,2,1671,1008
1,268,2,1172,920
1,269,2,996,836
1,270,2,565,756
1,271,2,535,680
1,272,2,519,608
1,273,2,493,540
1,274,2,521,476
1,275,2,770,416
1,276,2,672,360
1,277,2,513,308
1,278,2,445,260
1,279,2,445,216
1,280,2,343,176
1,281,2,305,140
1,282,2,253,108
1,283,2,196,80
1,284,2,151,56
1,285,2,134,37
1,286,2,118,22
1,287,2,97,11
1,288,2,88,4
2,289,2,6905,6140
2,290,2,4372,5973
2,291,2,8823,5797
2,292,2,3910,5614
2,293,2,3641,5429
2,294,2,4016,5244
2,295,2,3346,5061
2,296,2,3769,4880
2,297,2,3254,4701
2,298,2,3340,4524
2,299,2,3631,4349
2,300,2,3069,4176
2,301,2,2675,4005
2,302,2,2446,3836
